aaron,erin,ron
alan,al
alexander,alex
andrew,andy
anthony,tony
arthur,art
barnabas,barny
bartholomew,bart
benjamin,ben
bradford,brad
charles,chuck
christopher,chris
daniel,dan
david,dave
donald,don
francis,frank
gerald,jerry,gerry
jacob,jake
james,jamie,jim,jimmy
john,jack
joseph,joe
joshua,josh
lucias,luke
lucas,luke
marcus,mark
martin,marty
matthew,matt
michael,mike
patrick,pat
peter,pete
phillip,phil
raymond,ray
richard,dick,rich,rick
robert,bob,rob
roger,rod
samuel,sam
sidney,sid
smith,smitty
terence,terry
thomas,tom,thom
timothy,tim
wallace,wally
zachariah,zach,zeke
abigail,abby,gail
adaline,addy
agatha,aggy
alexandra,alex
antoinette,ann
antonia,ann
barbara,barb,bab
belinda,belle
beatrice,trisha,trish,trix
bertha,bert,bertie
carol,carrie
cassandra,cassie,sandra,sandy
catherine,cathy,kathy
cecilia,cissy
charlotte,sherry
christine,chris
dorothy,dolly,dot,dotty
eleanor,ellen,elaine
elizabeth,beth,betsy,libby,liza,lisa,liz,lizzie
faith,fay
frances,fanny,fran
gabrielle,gabby
hannah,anna
hellen,ellen
isabel,bella
jane,jean
jennifer,jennie
jessica,jessie
joyce,joy
julia,julie
margaret,maggie
melinda,linda,mindy
melissa,mel,lissa
mildred,milly
natalie,natty
penelope,penny
sarah,sally,sadie
susan,sue,susie
valerie,val
victoria,vicky